"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 23 14:02:45 GMT 2023","Mon Oct 23 14:02:50 GMT 2023","4925","","Main page","","","","Homepage Validation",""
"passed","Mon Oct 23 14:03:19 GMT 2023","Mon Oct 23 14:03:32 GMT 2023","13258","","Main page","","","","Open solutions page",""
"passed","Mon Oct 23 14:03:58 GMT 2023","Mon Oct 23 14:04:02 GMT 2023","3452","","SMS API page","","","","Choose programming language in Start Buiding section",""
"passed","Mon Oct 23 14:03:48 GMT 2023","Mon Oct 23 14:03:52 GMT 2023","4369","","SMS API page","","","","Check MMS link",""
"passed","Mon Oct 23 14:04:02 GMT 2023","Mon Oct 23 14:04:05 GMT 2023","3334","","SMS API page","","","","Open FAQ item",""
"passed","Mon Oct 23 14:03:55 GMT 2023","Mon Oct 23 14:03:58 GMT 2023","3341","","SMS API page","","","","Verify functionality of slider's arrows",""
"passed","Mon Oct 23 14:04:09 GMT 2023","Mon Oct 23 14:04:18 GMT 2023","8332","","SMS API page","","","","Return to main page",""
"passed","Mon Oct 23 14:03:10 GMT 2023","Mon Oct 23 14:03:14 GMT 2023","4278","","Main page","","","","Open contact us form",""
"passed","Mon Oct 23 14:02:50 GMT 2023","Mon Oct 23 14:03:04 GMT 2023","14135","","Main page","","","","Header Navigation Functionality",""
"passed","Mon Oct 23 14:03:14 GMT 2023","Mon Oct 23 14:03:18 GMT 2023","4079","","Main page","","","","Open sign up form",""
"passed","Mon Oct 23 14:04:34 GMT 2023","Mon Oct 23 14:04:38 GMT 2023","3626","","Solutions page","","","","Open uses case's page",""
"passed","Mon Oct 23 14:04:05 GMT 2023","Mon Oct 23 14:04:09 GMT 2023","3778","","SMS API page","","","","Visit customer story page",""
"passed","Mon Oct 23 14:04:30 GMT 2023","Mon Oct 23 14:04:34 GMT 2023","3801","","Solutions page","","","","Scroll down functionality on Solutions' page",""
"passed","Mon Oct 23 14:03:05 GMT 2023","Mon Oct 23 14:03:09 GMT 2023","4637","","Main page","","","","Footer Navigation Functionality",""
"passed","Mon Oct 23 14:03:52 GMT 2023","Mon Oct 23 14:03:55 GMT 2023","2692","","SMS API page","","","","Scroll to use cases section",""
